#INTERVAL_START,INTERVAL_END,ANIMAL,BICYCLE,BUS,CAR,CAR_TRAILER,CARAVAN,E_CART,HEAD,HEAVY,LIGHT,MOTORCYCLE,OBSTACLE,PEDESTRIAN,PRAM,SCOOTER,SKATE,TRACTOR,TRAM,TRUCK_TRAILER,TUK_TUK,UNKNOWN,VAN,WHEELCHAIR
2024-07-02T19:05:00+02:00,2024-07-02T19:10:00+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-02T19:10:00+02:00,2024-07-02T19:15:00+02:00,0,10,1,105,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,2,0
2024-07-02T19:15:00+02:00,2024-07-02T19:20:00+02:00,0,1,0,87,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-07-02T19:20:00+02:00,2024-07-02T19:25:00+02:00,0,3,1,93,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0
2024-07-02T19:25:00+02:00,2024-07-02T19:30:00+02:00,0,6,0,85,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,4,0
2024-07-02T19:30:00+02:00,2024-07-02T19:35:00+02:00,0,2,4,76,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0
2024-07-02T19:35:00+02:00,2024-07-02T19:40:00+02:00,0,3,0,79,0,0,0,0,1,1,1,0,6,1,0,0,0,0,0,0,0,3,0
2024-07-02T19:40:00+02:00,2024-07-02T19:45:00+02:00,0,14,2,81,0,0,0,0,0,2,0,0,7,2,0,0,0,0,0,0,0,2,0
2024-07-02T19:45:00+02:00,2024-07-02T19:50:00+02:00,0,7,1,79,0,0,0,0,1,1,0,0,11,0,0,0,0,0,0,0,0,5,0
2024-07-02T19:50:00+02:00,2024-07-02T19:55:00+02:00,0,2,0,70,0,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,6,0
2024-07-02T19:55:00+02:00,2024-07-02T20:00:00+02:00,0,3,1,63,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,4,0
2024-07-02T20:00:00+02:00,2024-07-02T20:05:00+02:00,0,0,1,58,0,0,0,0,3,0,2,0,6,0,0,0,0,0,0,0,0,3,0
2024-07-02T20:05:00+02:00,2024-07-02T20:10:00+02:00,0,1,1,77,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0
2024-07-02T20:10:00+02:00,2024-07-02T20:15:00+02:00,0,5,4,71,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4,0
